topology,trial,n,beta,gamma,t10,t50,peak_infected,auc,final_size,duration
ER,0,1000,0.15,0.05,6,10,706,19207.5,0.986,153
ER,1,1000,0.15,0.05,5,9,725,20140.5,0.987,167
ER,2,1000,0.15,0.05,5,9,746,20514.5,0.994,140
ER,3,1000,0.15,0.05,7,11,711,19102.5,0.991,136
ER,4,1000,0.15,0.05,6,10,720,19185.5,0.991,162
ER,5,1000,0.15,0.05,7,11,754,20622.5,0.996,152
ER,6,1000,0.15,0.05,7,10,740,20657.5,0.984,138
ER,7,1000,0.15,0.05,6,11,712,19489.5,0.994,162
ER,8,1000,0.15,0.05,7,11,697,19355.5,0.985,182
ER,9,1000,0.15,0.05,6,10,743,20064.5,0.995,183
ER,10,1000,0.15,0.05,6,11,746,18982.5,0.988,153
ER,11,1000,0.15,0.05,6,10,750,20049.5,0.992,120
ER,12,1000,0.15,0.05,7,11,734,21162.5,0.988,166
ER,13,1000,0.15,0.05,6,10,738,20139.5,0.991,148
ER,14,1000,0.15,0.05,7,11,727,19698.5,0.992,123
ER,15,1000,0.15,0.05,6,10,713,20267.5,0.989,148
ER,16,1000,0.15,0.05,6,10,767,19859.5,0.992,162
ER,17,1000,0.15,0.05,6,10,748,19837.5,0.993,136
ER,18,1000,0.15,0.05,6,11,716,19453.5,0.989,131
ER,19,1000,0.15,0.05,7,10,736,19726.5,0.991,130
ER,20,1000,0.15,0.05,5,10,748,19114.5,0.99,143
ER,21,1000,0.15,0.05,6,11,727,20108.5,0.988,132
ER,22,1000,0.15,0.05,5,9,728,20019.5,0.99,152
ER,23,1000,0.15,0.05,6,11,725,18596.5,0.987,172
ER,24,1000,0.15,0.05,6,10,727,20300.5,0.991,166
ER,25,1000,0.15,0.05,6,11,718,19722.5,0.987,150
ER,26,1000,0.15,0.05,6,10,741,19936.5,0.991,151
ER,27,1000,0.15,0.05,6,9,766,20490.5,0.988,157
ER,28,1000,0.15,0.05,6,10,724,20942.5,0.991,145
ER,29,1000,0.15,0.05,7,12,720,20388.5,0.994,213
ER,30,1000,0.15,0.05,6,10,735,19856.5,0.992,154
