topology,trial,beta,t10,t50,peak_infected,final_size,auc,reached_10,reached_50,duration
BA,0,0.05,7.0,,488,0.937,18236.5,True,False,142
BA,0,0.15,3.0,7.0,714,0.995,18105.5,True,True,130
BA,0,0.25,3.0,5.0,819,0.999,18215.5,True,True,115
BA,1,0.05,10.0,,465,0.927,19017.5,True,False,162
BA,1,0.15,4.0,7.0,745,0.995,20343.5,True,True,164
BA,1,0.25,2.0,5.0,808,0.994,19528.5,True,True,174
BA,2,0.05,12.0,,496,0.936,19268.5,True,False,213
BA,2,0.15,5.0,8.0,736,1.0,19882.5,True,True,145
BA,2,0.25,4.0,6.0,832,0.999,20323.5,True,True,149
BA,3,0.05,12.0,,488,0.915,18424.5,True,False,208
BA,3,0.15,4.0,7.0,715,0.995,19712.5,True,True,188
BA,3,0.25,3.0,5.0,810,0.996,20070.5,True,True,141
BA,4,0.05,12.0,26.0,508,0.946,18691.5,True,True,195
BA,4,0.15,4.0,7.0,727,0.998,19706.5,True,True,176
BA,4,0.25,3.0,5.0,838,1.0,20001.5,True,True,131
BA,5,0.05,10.0,,428,0.898,16983.5,True,False,136
BA,5,0.15,4.0,8.0,726,0.996,19323.5,True,True,187
BA,5,0.25,3.0,5.0,840,0.999,20338.5,True,True,158
BA,6,0.05,12.0,,464,0.932,17822.5,True,False,160
BA,6,0.15,6.0,9.0,729,0.995,19496.5,True,True,190
BA,6,0.25,4.0,6.0,800,1.0,19019.5,True,True,138
BA,7,0.05,8.0,,485,0.935,20308.5,True,False,162
BA,7,0.15,4.0,7.0,722,0.99,19845.5,True,True,186
BA,7,0.25,3.0,5.0,813,0.997,20133.5,True,True,125
BA,8,0.05,8.0,,460,0.906,18496.5,True,False,139
BA,8,0.15,5.0,8.0,742,0.995,20232.5,True,True,155
BA,8,0.25,4.0,6.0,814,1.0,20605.5,True,True,134
BA,9,0.05,8.0,,481,0.947,18479.5,True,False,150
BA,9,0.15,4.0,7.0,741,0.994,19072.5,True,True,136
BA,9,0.25,3.0,5.0,823,1.0,18940.5,True,True,129
BA,10,0.05,9.0,20.0,509,0.939,18821.5,True,True,192
BA,10,0.15,6.0,9.0,753,0.993,18934.5,True,True,192
BA,10,0.25,4.0,6.0,821,1.0,18877.5,True,True,137
BA,11,0.05,25.0,,465,0.941,19089.5,True,False,177
BA,11,0.15,5.0,8.0,733,0.997,20042.5,True,True,139
BA,11,0.25,4.0,6.0,821,1.0,20465.5,True,True,150
BA,12,0.05,12.0,,486,0.907,17711.5,True,False,203
BA,12,0.15,5.0,8.0,747,0.996,19184.5,True,True,132
BA,12,0.25,4.0,6.0,817,0.998,19074.5,True,True,135
BA,13,0.05,9.0,23.0,506,0.947,19745.5,True,True,150
BA,13,0.15,4.0,7.0,725,0.995,19828.5,True,True,154
BA,13,0.25,3.0,5.0,821,0.999,19840.5,True,True,147
BA,14,0.05,12.0,,486,0.927,18594.5,True,False,172
BA,14,0.15,6.0,9.0,714,0.992,19726.5,True,True,156
BA,14,0.25,4.0,6.0,821,0.999,20110.5,True,True,176
BA,15,0.05,14.0,27.0,511,0.935,19549.5,True,True,211
BA,15,0.15,3.0,6.0,758,0.997,21168.5,True,True,153
BA,15,0.25,3.0,5.0,821,1.0,20994.5,True,True,152
BA,16,0.05,15.0,,476,0.932,19053.5,True,False,162
BA,16,0.15,5.0,8.0,712,0.991,19687.5,True,True,179
BA,16,0.25,3.0,5.0,823,1.0,19884.5,True,True,139
BA,17,0.05,11.0,,499,0.931,19619.5,True,False,145
BA,17,0.15,5.0,7.0,730,0.996,20990.5,True,True,179
BA,17,0.25,3.0,5.0,807,0.999,20403.5,True,True,131
BA,18,0.05,9.0,25.0,501,0.931,20156.5,True,True,165
BA,18,0.15,5.0,7.0,742,0.997,20840.5,True,True,153
BA,18,0.25,4.0,6.0,824,1.0,20932.5,True,True,143
BA,19,0.05,9.0,,492,0.938,18938.5,True,False,221
BA,19,0.15,4.0,7.0,739,0.993,19648.5,True,True,200
BA,19,0.25,3.0,5.0,828,0.998,19812.5,True,True,185
BA,20,0.05,12.0,24.0,500,0.933,18446.5,True,True,154
BA,20,0.15,6.0,9.0,717,0.995,19118.5,True,True,140
BA,20,0.25,3.0,5.0,842,1.0,19682.5,True,True,151
BA,21,0.05,11.0,27.0,508,0.942,18855.5,True,True,130
BA,21,0.15,5.0,9.0,720,0.998,20131.5,True,True,157
BA,21,0.25,3.0,5.0,812,0.998,20017.5,True,True,151
BA,22,0.05,11.0,24.0,507,0.939,19641.5,True,True,182
BA,22,0.15,5.0,8.0,716,0.988,20974.5,True,True,160
BA,22,0.25,4.0,6.0,788,0.999,20092.5,True,True,168
BA,23,0.05,7.0,,480,0.927,18696.5,True,False,156
BA,23,0.15,3.0,6.0,730,0.998,19663.5,True,True,126
BA,23,0.25,3.0,5.0,807,0.999,19718.5,True,True,170
BA,24,0.05,11.0,,467,0.935,18888.5,True,False,160
BA,24,0.15,5.0,8.0,730,0.993,20560.5,True,True,163
BA,24,0.25,4.0,5.0,852,0.999,21685.5,True,True,183
BA,25,0.05,12.0,,474,0.923,17956.5,True,False,166
BA,25,0.15,4.0,7.0,698,0.992,19078.5,True,True,142
BA,25,0.25,3.0,5.0,821,1.0,19420.5,True,True,127
BA,26,0.05,9.0,19.0,514,0.937,19212.5,True,True,189
BA,26,0.15,4.0,7.0,740,0.995,19103.5,True,True,130
BA,26,0.25,3.0,5.0,817,0.998,18914.5,True,True,139
BA,27,0.05,10.0,,440,0.936,19279.5,True,False,157
BA,27,0.15,6.0,9.0,752,0.998,20977.5,True,True,156
BA,27,0.25,4.0,6.0,834,0.999,20643.5,True,True,150
BA,28,0.05,8.0,20.0,504,0.937,18648.5,True,True,155
BA,28,0.15,4.0,7.0,737,0.994,19992.5,True,True,160
BA,28,0.25,3.0,5.0,805,1.0,19938.5,True,True,166
BA,29,0.05,11.0,,471,0.935,19020.5,True,False,227
BA,29,0.15,4.0,7.0,739,0.992,19860.5,True,True,141
BA,29,0.25,4.0,6.0,832,1.0,20200.5,True,True,171
BA,30,0.05,7.0,,490,0.944,18993.5,True,False,196
BA,30,0.15,4.0,7.0,749,0.994,19934.5,True,True,138
