topology,strategy,fraction,trial,n,beta,gamma,t10,t50,peak_infected,auc,final_size,duration
ER,none,0.0,0,1000,0.15,0.05,6,10.0,706,19207.5,0.986,153
ER,none,0.0,1,1000,0.15,0.05,5,9.0,725,20140.5,0.987,167
ER,none,0.0,2,1000,0.15,0.05,5,9.0,746,20514.5,0.994,140
ER,none,0.0,3,1000,0.15,0.05,7,11.0,711,19102.5,0.991,136
ER,none,0.0,4,1000,0.15,0.05,6,10.0,720,19185.5,0.991,162
ER,none,0.0,5,1000,0.15,0.05,7,11.0,754,20622.5,0.996,152
ER,none,0.0,6,1000,0.15,0.05,7,10.0,740,20657.5,0.984,138
ER,none,0.0,7,1000,0.15,0.05,6,11.0,712,19489.5,0.994,162
ER,none,0.0,8,1000,0.15,0.05,7,11.0,697,19355.5,0.985,182
ER,none,0.0,9,1000,0.15,0.05,6,10.0,743,20064.5,0.995,183
ER,none,0.0,10,1000,0.15,0.05,6,11.0,746,18982.5,0.988,153
ER,none,0.0,11,1000,0.15,0.05,6,10.0,750,20049.5,0.992,120
ER,none,0.0,12,1000,0.15,0.05,7,11.0,734,21162.5,0.988,166
ER,none,0.0,13,1000,0.15,0.05,6,10.0,738,20139.5,0.991,148
ER,none,0.0,14,1000,0.15,0.05,7,11.0,727,19698.5,0.992,123
ER,none,0.0,15,1000,0.15,0.05,6,10.0,713,20267.5,0.989,148
ER,none,0.0,16,1000,0.15,0.05,6,10.0,767,19859.5,0.992,162
ER,none,0.0,17,1000,0.15,0.05,6,10.0,748,19837.5,0.993,136
ER,none,0.0,18,1000,0.15,0.05,6,11.0,716,19453.5,0.989,131
ER,none,0.0,19,1000,0.15,0.05,7,10.0,736,19726.5,0.991,130
ER,none,0.0,20,1000,0.15,0.05,5,10.0,748,19114.5,0.99,143
ER,none,0.0,21,1000,0.15,0.05,6,11.0,727,20108.5,0.988,132
ER,none,0.0,22,1000,0.15,0.05,5,9.0,728,20019.5,0.99,152
ER,none,0.0,23,1000,0.15,0.05,6,11.0,725,18596.5,0.987,172
ER,none,0.0,24,1000,0.15,0.05,6,10.0,727,20300.5,0.991,166
ER,none,0.0,25,1000,0.15,0.05,6,11.0,718,19722.5,0.987,150
ER,none,0.0,26,1000,0.15,0.05,6,10.0,741,19936.5,0.991,151
ER,none,0.0,27,1000,0.15,0.05,6,9.0,766,20490.5,0.988,157
ER,none,0.0,28,1000,0.15,0.05,6,10.0,724,20942.5,0.991,145
ER,none,0.0,29,1000,0.15,0.05,7,12.0,720,20388.5,0.994,213
ER,none,0.0,30,1000,0.15,0.05,6,10.0,735,19856.5,0.992,154
ER,none,0.0,31,1000,0.15,0.05,5,10.0,721,18802.5,0.986,142
ER,none,0.0,32,1000,0.15,0.05,6,10.0,736,19631.5,0.993,180
ER,none,0.0,33,1000,0.15,0.05,6,10.0,725,19559.5,0.99,191
ER,none,0.0,34,1000,0.15,0.05,7,11.0,717,19227.5,0.983,139
ER,none,0.0,35,1000,0.15,0.05,6,11.0,717,20012.5,0.989,177
ER,none,0.0,36,1000,0.15,0.05,5,9.0,735,19286.5,0.992,136
ER,none,0.0,37,1000,0.15,0.05,5,10.0,732,19169.5,0.995,142
ER,none,0.0,38,1000,0.15,0.05,5,10.0,729,18944.5,0.988,167
ER,none,0.0,39,1000,0.15,0.05,6,9.0,716,19747.5,0.986,124
ER,none,0.0,40,1000,0.15,0.05,6,10.0,742,19744.5,0.997,212
ER,none,0.0,41,1000,0.15,0.05,5,9.0,734,19598.5,0.988,189
ER,none,0.0,42,1000,0.15,0.05,6,10.0,724,19558.5,0.992,197
ER,none,0.0,43,1000,0.15,0.05,6,10.0,723,20572.5,0.993,199
ER,none,0.0,44,1000,0.15,0.05,6,11.0,733,20202.5,0.993,149
ER,none,0.0,45,1000,0.15,0.05,7,12.0,769,20810.5,0.997,155
ER,none,0.0,46,1000,0.15,0.05,7,11.0,723,19881.5,0.985,187
ER,none,0.0,47,1000,0.15,0.05,7,11.0,734,20661.5,0.993,153
ER,none,0.0,48,1000,0.15,0.05,6,11.0,739,19634.5,0.99,140
ER,none,0.0,49,1000,0.15,0.05,5,10.0,714,19919.5,0.992,158
ER,none,0.0,50,1000,0.15,0.05,6,10.0,726,19723.5,0.993,140
